Date,Site,Agapostemon sericeus,Agapostemon virescens,Andrena commoda,Andrena cressonii cressonii,Andrena platyparia,Andrena rudbeckiae,Andrena simplex,Andrena wilkella,Anthophora abrupta,Apis mellifera,Augochlora pura,Augochlorella aurata,Augochlorella persimilis,Augochloropsis metallica,Bombus auricomus,Bombus bimaculatus,Bombus fervidus,Bombus griseocollis,Bombus impatiens,Bombus pensylvanicus,Calliopsis andreniformis,Ceratina calcarata/dupla/mikmaqi group,Ceratina strenua,Coelioxys octodentata,Eucera hamata,Halictus confusus,Halictus ligatus,Halictus parallelus,Halictus rubicundus,Heriades carinatus,Hoplitis pilosifrons,Hylaeus affinis,Hylaeus mesillae,Hylaeus sp.,Lasioglossum (Dialictus) sp.,Lasioglossum admirandum,Lasioglossum albipenne,Lasioglossum anomalum,Lasioglossum apocyni,Lasioglossum callidum,Lasioglossum coriaceum,Lasioglossum cressonii,Lasioglossum ellisiae,Lasioglossum ephialtum,Lasioglossum gotham,Lasioglossum hartii,Lasioglossum hitchensi,Lasioglossum illinoense,Lasioglossum imitatum,Lasioglossum lustrans,Lasioglossum paradmirandum,Lasioglossum pectorale,Lasioglossum pilosum,Lasioglossum pruinosum,Lasioglossum quebecense,Lasioglossum rozeni,Lasioglossum simplex,Lasioglossum tegulare,Lasioglossum versatum,Lasioglossum zephyrum,Megachile brevis,Megachile mendica,Megachile montivaga,Megachile petulans,Melissodes agilis,Melissodes bimaculata,Melissodes boltoniae,Melissodes communis,Melissodes comptoides,Melissodes desponsus,Melissodes sp.,Melissodes trinodis,Nomada articulata,Nomada erigeronis,Nomada imbricata,Nomada vincta,Peponapis pruinosa,Pseudopanurgus albitarsis,Pseudopanurgus compositarum,Sphecodes clematidis,Sphecodes cressonii,Stelis lateralis,Svastra obliqua,Triepeolus lunatus,Xylocopa virginica
6/3/2019,LEW,,1,,,,,,,,,,4,,1,,,1,,,,,,,,8,1,2,,,,,,,,,,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2019,ROG,,4,,8,1,,,,,,,9,,,,,1,,,1,,4,,,2,2,6,,,,2,,,9,,,1,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2019,PRU,,6,1,,,,,,,1,,5,,,,,,,,,,9,1,,,,5,,,,,,,,1,,,4,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
6/4/2019,TOB,,8,,,,,,,,1,,1,,,,,1,,,,,2,,,,,2,,,,,,,2,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6/5/2019,BEH,,1,,,,,,1,,1,,,,,,1,,,,1,,2,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2019,TEN20,,5,,1,,,,,,4,,,,,,,,,1,1,,1,1,,4,,4,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6/6/2019,GRE21,,,,,,,,,,1,1,,,,,,,,,1,,2,,,8,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2019,GRE29,,,,,,,,,,,,3,,,,,,,,,,20,3,,1,,,,,,1,,,5,,,22,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2019,PRU,,9,,,,,,,,2,,,,,,,,,,2,,1,,,19,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6/6/2019,TOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6/7/2019,GLAZIK,,13,2,,,,,,,,,14,,,,,1,1,,2,,22,,,,,9,,,,4,,,2,1,,3,,,,,,,,,,,,,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
7/3/2019,LEW,,14,,,,,,1,,1,,4,1,,,,,,,1,,,,,13,,29,,,,,,,,1,,1,,,,,,,7,,36,21,,,2,11,,,2,,,,5,,,,,,,,,3,,4,,,1,,,,,,,,,,,,,
7/3/2019,ROG,,23,,,,,,,,,,3,,,,,,5,4,2,5,14,,,9,3,22,,3,,2,,,2,,,,,,,,,,12,,,14,,,1,2,,,,,,,,,,,,1,,,,1,,2,,,3,,,,,,,,,,,,,
7/4/2019,PRU,,17,,,,,,1,,44,,7,9,,8,1,,29,6,,3,8,,,2,3,17,,1,,1,1,3,5,,,,22,,,2,,,3,,1,7,,7,,3,2,1,5,,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,7
7/4/2019,TOB,,7,,,,,,13,2,,,,,,1,4,,1,,1,3,,,,69,4,2,,1,,3,,,,,,,1,,,,,,26,,5,4,,,,,,,,1,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,
7/5/2019,BEH,,8,,,,,,13,,10,,,,,4,,,1,1,2,,2,,,51,,,,13,,1,,,,,,,,,,,,,2,,2,5,,,,,,,,,,,,,,,,,,,,,,4,1,,8,,,,,,,,,,,,,
7/5/2019,TEN20,1,4,,,,,,,1,18,5,12,7,,6,2,,7,7,3,2,1,1,,,1,49,,,,,,2,6,2,,,1,,,1,,,9,,6,13,1,57,,1,1,4,,,,,3,,1,,2,,,1,2,2,,,,,6,,1,,,,,,1,,,,,
7/6/2019,GRE29,,,,,,,,,,8,,4,,,,,,,1,,,,,,,,7,,,,,,1,,,,,,,,,,,,,,2,,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,
7/7/2019,GLAZIK,,43,,,,,,1,,,,4,,,,,,1,,5,,6,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,2,,,8,,,7,,,,,,,,,,,,,
7/7/2019,GRE29,,3,,,,,,,,1,,1,,,1,,,,1,1,,3,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,4,,,1,,,2,,,,,,1,,,,,,,
7/8/2019,GRE21,,3,,,,3,,,,6,,3,,,,,,2,2,,,1,,,,,16,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,1,,,15,,,,,,,,,,,,,
8/2/2019,LEW,,1,,,,,,,,1,,2,,,1,,,,,,5,,,1,,,116,,,,,,,1,,,2,,1,,,,1,1,,12,6,,,,4,,,2,,,,7,,,,,,,2,37,,,,1,,29,,,,,1,,,,,,,,
8/2/2019,ROG,,,,,,1,,,,,,7,,,,,,,,,4,3,,,,1,42,1,,,,,,,,,,,,,,1,,3,,,16,,,,,,,,,,,,1,,1,,,,,1,,1,,,,2,,,,,,,,,,,,,
8/7/2019,PRU,,8,,,,1,,,,,,3,1,,,,,2,,1,3,48,1,,,1,18,,1,,,,,,,,,51,,2,,,,2,,4,10,,1,1,,,,4,,,,,,,,,,,1,17,,1,1,,,5,,,,,,,,,,,,,1
8/7/2019,TOB,,1,,,,,,,,,,,,,3,,,,1,2,10,33,,,,,25,,,,,,,2,,,,,,,,,,1,,8,,,,,,,,,,,,,,,,,,,1,43,,,29,2,,2,,,,,1,,,,,,,,1
8/8/2019,BEH,,6,,,,1,,,,,,5,,,2,,,,1,2,,32,,,,,34,,1,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,6,53,1,1,17,5,,2,,,,,,,,,,,,,
8/8/2019,TEN20,,1,,,,,,,,9,1,2,1,,1,,,1,1,1,5,5,,,,1,14,,1,,,,,,,,,,,,,,,20,,2,11,,41,,8,1,2,,,,,,2,2,,1,,1,1,37,1,,4,3,,2,,,,,,,,,,,,,
8/9/2019,GRE21,,,,,,,,,,,,1,,,2,,,,1,1,,3,,,,,22,,,,,,,,,1,,,,,,,,1,,3,5,,,,,,,,,,,,,,,,,,,49,1,,18,1,,,,,,,1,,,,,,,,
8/9/2019,GRE29,,,,,,,,,,,,,,,1,,,,,,,6,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,3,5,1,1,,,,,,,,,,,,,
8/14/2019,GLAZIK,,20,,,,5,,,,,,2,,,,,,3,,9,1,71,,,,1,30,,,,,,,2,,,,1,,,,,,,,,6,,,2,,,,,,,,,,,,,,,2,81,,,19,,1,8,,,,,1,,,,,,,2,
8/16/2019,ROG,,,,,,,,,,,,,,,2,,,3,,1,,18,,,,,1,,,,,,,2,,,,,,1,,,,4,,1,15,,,,2,,,1,,,,,,,,,,,,13,1,,1,12,,7,,,,,3,,,,,,,,
9/3/2019,ROG,,3,,,,,,,,2,,1,,,,,,4,2,3,1,14,1,,,,7,,,,,,,4,,,,,,,,,,1,,,3,,,,1,,,,,,,,,,2,,1,,,,2,1,1,,,17,,,,1,,,,,1,,,,
9/4/2019,TOB,,,,,,,,,,,,,,,,,,,1,3,20,8,,,,1,4,,1,,,1,,9,,,,1,,,,,,3,,7,,,,,,,,,,,,,,,2,,,,,5,2,1,15,1,,5,,,,1,,,,,,,,,
9/5/2019,BEH,,1,,,,,2,,,9,,1,,,,,,4,,7,,17,1,,,,4,1,,,,,,2,,,,,,,,,,2,,,4,,,,1,,,,,,,,,,2,,,,1,6,,2,12,,,3,,,,,1,,,,,,1,,
9/5/2019,LEW,,6,,,,,,,,,,3,3,,,,4,,8,1,26,4,,,,,93,,,,,,,12,,,,,,,,,,,,2,2,,,4,1,,,1,,,,,,,6,,,,1,19,9,1,31,2,,23,,,,,2,,1,,,,,,
9/6/2019,PRU,,11,,,,,,,,9,,3,2,,2,,2,5,12,3,1,17,,,,,5,,,1,,,1,16,,,,12,,,,,,1,,1,2,,1,1,2,,,1,,,,,,,,1,,,3,,3,,,,,2,,,,,,,2,1,,,1,,
9/7/2019,GRE29,,,,,,,,,,1,,,,,,,1,,2,1,,1,,,,,2,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,,,,,,,,,,2,,,,,,
9/11/2019,GLAZIK,,4,,,,,,,,3,,,,,,,1,2,3,3,,2,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,10,5,5,,7,,,13,,,,1,,,,,,,,,
9/11/2019,TEN20,,,,,,,,,,3,,,1,,,,,1,1,2,2,,1,,,,5,,,,,,,8,6,,,,,,,,1,1,,7,2,,4,,2,,,,,1,,,,,1,,1,,,1,,,1,,,1,,,,,,,2,,,,,,
9/12/2019,GRE21,,,,,,,,,,28,,,,,,,,,7,1,1,1,,,,,,,,,,,,13,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,5,,,,,5,,,,,,,,,,,,,2
